I f{⍺⍺{⍺⍺⍣(⍵⍵ ⍵)⊢⍵}⍵⍵⍣⍺⊢⍵}g Y,Power: Iterating f on Y while condition g Y is true but at most I times <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Dyadic Function,Dyadic Operator,Function Application,"
"f{c←⊃⍵ ⋄ (1↑⍵),⍺⍺{c⊢←c ⍺⍺ ⍵}¨1↓⍵}Yv",Left Scan: f⍨/⌽Yv with intermediate values <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Monadic Function,Monadic Operator,Function Application,"
(Xv{⍺⍺(⍵⍵⌷⍨∘⊂⍳)@(∊∘⍺⍺)⍵}Yv)Z,Replacing elements of Z that appear in Xv with the corresponding element from Yv <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Monadic Function,Dyadic Operator,Structural,"
"Xv(Cv{(⍵,⍨⊂⍺⍺)⍪⍺,⍺∘.(⍎⍺⍺)⍵})Yv",Formatted function table for function Cv with Xv down and Yv across <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Dyadic Function,Monadic Operator,Function Application,"
"I f{⍉2⊥(-⍺⍺/0>b)⍪⍺⍺/2⊥⍣¯1⊢b←⍉⍺,[0.5]⍵}J",2's-complement bit-wise application of f between I and J <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Monadic Function,Monadic Operator,Boolean/Logical,"
Is f{a+.×⍺⍺(⊃⍵)-(a←-/⍵÷-⍺)×0.5-⍳⍺}Nv,Definite integral of scalar function f in range Nv[1]…Nv[2] with Is steps <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Dyadic Function,Monadic Operator,Mathematical,"
"M f{⊃+/,(∘.⍺⍺⍨0 1)×(1-⍺)⍺∘.×(1-⍵)⍵}N",Probabilistic function corresponding to Boolean function f <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Dyadic Function,Monadic Operator,Mathematical,"
X f{⍺←{⍵ ⋄ ⍺⍺} ⋄ ⍵⍵⍣¯1⊢(⍵⍵ ⍺)⍺⍺(⍵⍵ ⍵)}g Y,"Under: preprocess (g) argument(s) before applying main function (f), then undo preprocessing <br/> <br/><a href='nan'>Link to docs<a/>","Dop,Ambivalent Monadic Function, Dyadic Function,Dyadic Operator,Function Application,"
"f{⊃⍺⍺{⍵,⍨⊂⍺ ⍺⍺⊃⍬⍴⍵}/1↓⍬(⊢,∘⊂⍴)¯1⌽⍵}Y",Accumulating reduction <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Monadic Function,Monadic Operator,Function Application,"
"Xv(Av{(1+⍺⍺)⊃¨((~⍺⍺)\⍺),¨(⍺⍺\⍵)})Yv","Mesh vectors Xv and Yv under control of Av (0:cell from Xv, 1:cell from Yv, …) <br/> <br/><a href='nan'>Link to docs<a/>","Dop,Dyadic Function,Monadic Opertor,Selection,"
Mv(Ns{⍺⍺{⍺⍺|⍺×⍺⍺|×⍨⍵}⌿⍺*⍤1⊖0⍪2⊥⍣¯1⊢⍵})Jv,Modulo power (fast non-overflowing Ns|Mv*Jv) <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Dyadic function,Monadic Operator,Mathematical,"
"M(I{+⌿(⍺⍺⊤⍨4⍴2)×⍤¯1↑,(1-⍺)⍺∘.×(1-⍵)⍵})N",Boolean/probabilistic functions I (0-15) <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Dyadic Function,Monadic Operator,Mathematical,"
"Xm(Av{(1+⍺⍺)⊃¨⍤1⊢((~⍺⍺)\⍺),¨(⍺⍺\⍵)})Ym","Mesh matrices Xm and Ym along rows under control of Av (0:cell from Xm, 1:cell from Ym, …) <br/> <br/><a href='nan'>Link to docs<a/>","Dop,Dyadic Function,Monadic Opertor,Selection,"
"Xm(Av{(1+⍺⍺)⊃¨⍤0 1⊢((~⍺⍺)⍀⍺),¨(⍺⍺⍀⍵)})Ym","Mesh matrices Xm and Ym along columns under control of Av (0:cell from Xm, 1:cell from Ym, …) <br/> <br/><a href='nan'>Link to docs<a/>","Dop,Dyadic Function,Monadic Opertor,Selection,"
(X{⍺⍺(⍵⍵⌷⍨∘⊂⍳)@(⍸(≢⍺⍺)≥⍺⍺⍳⍵)⊢⍵}Y)Z,Replacing major cells of Z that appear in X with the corresponding major cell from Y <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Monadic Function,Dyadic Operator,Structural,"
"(Is{(⍺⍺*¯1 1)(×⍴⍵↑⍨⊢)(⍴⍵)+⍵⍵,⍨⍺⍺|-≢⍵}Js)Ym",Ravel of a matrix to Is columns with a gap of Js <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Monadic Function,nan,Structural,"
"Is(As{⍺>⍵:0 ⋄ ⊃⌽⊃(+\×)/1,⍨⌽⊣\⍣⍺⍺⊢⍺,/⍳⍵-1})Js","Stirling number of the As'th kind (0:first, 1:second): S(n,k) <br/> <br/><a href='nan'>Link to docs<a/>","Dop,Dyadic Function,Monadic Operator,Mathematical,"
"X(f{⍺←⊢ ⋄ r⊣⍺ ⍺⍺{⍺←⊢ ⋄ r,∘⊂←⍺ ⍺⍺ ⍵}⍣⍵⍵⊃r←⊂⍵}Y)Z",Iterate: ⍣ but with intermediary results <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Monadic Function, Dyadic Function,Dyadic Operator,Iteration,"
"Iv(Is{(⊂(1+≢⍵)⌊⍋(⍳≢⍵),⍺⍴⍨⍺⍺×≢⍺)⌷⍵⍪⍵⍵}Y)Z",Inserting Is Y's into Z after indices Iv <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Dyadic Function,Dyadic Operator,Structural,"
(Iv{⍵⍀⍨(⍳(≢⍵)++/⍺⍺)∊+\1+⍺⍺\⍨⍵⍵∊⍨⍳≢⍵}Jv)Y,Open a gap of Iv[i] before Y[Jv[i]] (for all i) <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Monadic Function,Dyadic Operator,Structural,"
"Xv(Am{(1+⍺⍺)⊃¨⍤1⊢((~⍺⍺)\⍤1⊢⍺),¨(⍺⍺\⍤1⊢⍵)})Yv","Mesh vectors Xv and Yv in multiple ways under control of Am (0:cell from Xv, 1:cell from Yv, …) <br/> <br/><a href='nan'>Link to docs<a/>","Dop,Dyadic Function,Monadic Opertor,Selection,"
"Xm(Am{(1+⍺⍺)⊃¨⍤1⊢((~⍺⍺)\⍤1⊢⍺),¨(⍺⍺\⍤1⊢⍵)})Ym","Mesh matrices Xm and Ym differently for each row under control of Am (0:cell from Xm, 1:cell from Ym, …) <br/> <br/><a href='nan'>Link to docs<a/>","Dop,Dyadic Function,Monadic Opertor,Selection,"
X f{⍺←{⍵ ⋄ ⍺⍺} ⋄ w←⍵ ⋄ ((⍵⍵)w)←(⍵⍵ ⍺)⍺⍺(⍵⍵ ⍵) ⋄ w}g Y,Under: apply main function (f) to selection (g) of argument(s) <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Ambivaent Monadic Function, Dyadic Function,Dyadic Operator,Function Application,"
f{' ∘'[1+(⊢∘.=⍨∘⌽¯1+⌊/+∘⍳1+⌈/-⌊/)⌊0.5+⍺⍺ ⍵]}Nv,Graph of scalar function f at points Nv <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Monadic Function,Monadic Operator,Mathematical,"
"Xv(Am{⍉(1+⍺⍺)⊃¨⍤1⊢((~⍺⍺)\⍤1⍉⍺),¨(⍺⍺\⍤1⍉⍵)})Yv","Mesh vectors Xv and Yv differently in each column under control of Am (0:cell from Xv, 1:cell from Yv, …) <br/> <br/><a href='nan'>Link to docs<a/>","Dop,Dyadic Function,Monadic Opertor,Selection,"
"Xm(Am{⍉(1+⍺⍺)⊃¨⍤1⊢((~⍺⍺)\⍤1⍉⍺),¨(⍺⍺\⍤1⍉⍵)})Ym","Mesh matrices Xm and Ym differently for each column under control of Am (0:cell from Xm, 1:cell from Ym, …) <br/> <br/><a href='nan'>Link to docs<a/>","Dop,Dyadic Function,Monadic Opertor,Selection,"
"(Iv{⍵⍀⍨(⍳(≢⍵)++/⍺⍺)∊+\1+¯1↓0,⍺⍺\⍨⍵⍵∊⍨⍳≢⍵}Jv)Y",Open a gap of Iv[i] after Y[Jv[i]] (for all i) <br/> <br/><a href='nan'>Link to docs<a/>,"Dop,Monadic Function,Dyadic Operator,Structural,"
∆,Delta <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Introduction/Variables/Names.htm'>Link to docs<a/>,"nan,nan,nan,Expression,"
⍙,Delta-underscore <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Introduction/Variables/Names.htm'>Link to docs<a/>,"nan,nan,nan,Expression,"
mantEexp,Scaled Notation <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Introduction/Variables/Numbers.htm'>Link to docs<a/>,"Syntax,Array,nan,Expression,"
realJimag,Complex Notation <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Introduction/Variables/Numbers.htm'>Link to docs<a/>,"Syntax,Array,nan,Expression,"
¯,Negative number indicator <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Introduction/Variables/Numbers.htm'>Link to docs<a/>,"Syntax,Array,nan,Expression,"
○2,tau (2 pi) <br/> <br/><a href='https://help.dyalog.com/latest/#UserGuide/The%20APL%20Environment/User%20Commands.htm'>Link to docs<a/>,"Constant,Expression,nan,Circular/Trigonometric,"
f/⍬,Identity element for function f <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce.htm'>Link to docs<a/>,"Expression,nan,nan,mathematical,"
]name,Invoke user command 'name' <br/> <br/><a href='https://help.dyalog.com/latest/#UserGuide/The%20APL%20Environment/User%20Commands.htm'>Link to docs<a/>,"Non-syntax,nan,nan,nan,"
int.frac,Decimal Point <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Introduction/Variables/Numbers.htm'>Link to docs<a/>,"Syntax,Array,nan,Expression,"
ns.name,Namespace Member <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Introduction/Namespaces/Namespaces.htm'>Link to docs<a/>,"Syntax,nan,nan,Expression,"
⍬⊤⍬,zero-by-zero numeric matrix <br/> <br/><a href='nan'>Link to docs<a/>,"Constant,nan,nan,Expression,"
1111⌶Jv,Number of Threads <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Number%20Of%20Threads.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Function Application,"
1112⌶Js,Parallel Execution Threshold <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Parallel%20Execution%20Threshold.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Function Application,"
127⌶⍬,Overwrite Free Pockets <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Overwrite%20Free%20Pockets.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
160⌶0,Config file contents (unofficial) <br/> <br/><a href='nan'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
161⌶Dv,Configuration parameter value and origin (unofficial) <br/> <br/><a href='nan'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
180⌶Dv,Canonical Representation (⎕CR) for methods <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Canonical%20Representation.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Data Conversion,"
181⌶Y,Unsqueezed Type (⎕DR) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Unsqueezed%20Type.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Array Properties,"
183⌶Dv,Name classes for pieces of function/operator Dv (unofficial) <br/> <br/><a href='nan'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Data Conversion,"
200⌶Dv,Syntax Colouring <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Syntax%20Colouring.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Data Conversion,"
2002⌶Js,Specify Workspace Available (⎕WA) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Specify%20Workspace%20Available.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
2007⌶0,Disable global triggers <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Disable%20Global%20Triggers.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
2007⌶1,Enable global triggers <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Disable%20Global%20Triggers.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
201⌶⍬,Syntax Colour Tokens <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Syntax%20Colour%20Tokens.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,Data Conversion,"
2014⌶Y,Remove Data Binding (Windows only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Remove%20Data%20Binding.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Array Properties,"
2016⌶Yv,Create .NET Delegate (Windows only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Create%20.NET%20Delegate.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Array Properties,"
2017⌶Dv,Identify .NET Type (Windows only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Identify%20NET%20Type.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Array Properties,"
2022⌶0,Flush Session Caption (Windows only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Flush%20Session%20Caption.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
2023⌶0,Close all Windows <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Close%20All%20Windows.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
2031⌶6,List all system primitive code points (unofficial) <br/> <br/><a href='nan'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
2031⌶7,List all system function names (unofficial) <br/> <br/><a href='nan'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
2035⌶Dv,"Set Dyalog Pixel Type ('ScaledPixel'/'RealPixel', Windows only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Set%20Dyalog%20Pixel%20Type.htm'>Link to docs<a/>","I-beam,Monadic Function,Monadic Operator,System,"
2036⌶0,Disable auto-status (unofficial) <br/> <br/><a href='nan'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
2036⌶1,Enable auto-status (unofficial) <br/> <br/><a href='nan'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
2100⌶0,Export Workspace to in-Memory .NET Assembly (Windows only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Export%20To%20Memory.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
2101⌶0,Close .NET AppDomain (Windows only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Close%20.NET%20AppDomain.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
2250⌶0,Verify .NET Interface <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Verify%20.NET%20Interface.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
2350⌶Dv,Set list of user commands for auto-complete (unofficial) <br/> <br/><a href='nan'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
2400⌶Bs,Set Workspace Save Options <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Set%20Workspace%20Save%20Options.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
2401⌶Bs,Expose Root Properties <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Expose%20Root%20Properties.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
2501⌶0,Discard parked incoming .NET threads (Windows only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Discard%20Thread%20on%20Exit.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
2501⌶Bs,Discard incoming .NET thread on exit (Windows only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Discard%20Thread%20on%20Exit.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
2502⌶0,Discard existing used .NET threads (Windows only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Discard%20Parked%20Threads.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
2503⌶Js,Mark Thread as Uninterruptible <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Mark%20Thread%20as%20Uninterruptible.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
2520⌶Bs,Use Separate Thread For .NET <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Use%20Separate%20Thread%20For%20.NET.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
2704⌶Bs,Continue Autosave <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Continue%20Autosave.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
3002⌶Bs,Disable Component Checksum Validation <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Disable%20Component%20Checksum%20Validation.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
3501⌶0,Connected to the RIDE <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Connected%20to%20the%20RIDE.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
3502⌶Yv,Manage RIDE Connections <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Manage%20RIDE%20Connections.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
3503⌶Dv,Cross-platform equivalent of ⎕WC'MsgBox' (unofficial) <br/> <br/><a href='nan'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
4000⌶⍬,Fork New Task (UX only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Fork%20New%20Task.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
4001⌶Dv,Change User (UX only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Change%20User.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
4002⌶⍬,Reap Forked Tasks (UX only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Reap%20Forked%20Tasks.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
4007⌶⍬,Signal Counts (UX only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Signal%20Counts.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
4070⌶Y,"Dyalog registry location and user documents folder (unofficial, Windows only) <br/> <br/><a href='nan'>Link to docs<a/>","I-beam,Constant,Monadic Operator,System,"
50100⌶Js,Line Count <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Line%20Count.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
5176⌶0,List Loaded Files <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/List%20Loaded%20Files.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
5177⌶⍬,List Loaded File Objects <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/List%20Loaded%20File%20Objects.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
5178⌶Yv,Remove Loaded File Object Info <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Remove%20Loaded%20File%20Object%20Info.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
5179⌶Yv,Loaded File Object Info <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Loaded%20File%20Object%20Info.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
60⌶D,Partition lines of D into APL tokens <br/> <br/><a href='nan'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Text,"
600⌶Js,Trap Control <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Trap%20Control.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,System,"
739⌶0,Temporary Directory <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Temporary%20Directory.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
8415⌶Nm,Singular Value Decomposition <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Singular%20Value%20Decomposition.htm'>Link to docs<a/>,"I-beam,Monadic Function,Monadic Operator,Mathematical,"
8659⌶⍬,List shared code files <br/> <br/><a href='https://docs.dyalog.com/latest/Shared%20Code%20Files%20User%20Guide.pdf'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
900⌶Y,"Called Monadically? (tradfns/tradops only, Y can be any array) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Called%20Monadically.htm'>Link to docs<a/>","I-beam,Monadic Function,Monadic Operator,Function Application,"
950⌶⍬,Loaded Libraries <br/> <br/><a href='https://help.dyalog.com/latest/#Language/I%20Beam%20Functions/Loaded%20Libraries.htm'>Link to docs<a/>,"I-beam,Constant,Monadic Operator,System,"
⎕UCS 0,Null character (NUL) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 10,Line Feed (LF) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 11,Vertical Tab character (VT) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 12,Form Feed character (FF) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 127,Delete character (DEL) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 13,Carriage Return character (CR) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 13 10,Carriage Return-Line Feed pair (CRLF) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 26,End-Of-File character (EOF) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 27,Escape character (ESC) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 7,Bell character (BEL) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 8,Backspace character (BS) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⎕UCS 9,Horizontal Tab character (HT) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/System%20Functions/ucs.htm'>Link to docs<a/>,"Constant,Expression,nan,Text,"
⋄,Statement Separator <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/Statements.htm'>Link to docs<a/>,"Syntax,nan,nan,Expression,"
:Namespace,Declare container object without accesss restrictions <br/> <br/><a href='https://help.dyalog.com/latest/Content/Language/Control%20Structures/namespace.htm'>Link to docs<a/>,"Syntax,Control,Structure,Expression,"
:If,:If bx ⋄ block ⋄ :ElseIf bx│:Else ⋄ block ⋄ :EndIf <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Control%20Structures/if.htm'>Link to docs<a/>,"Syntax,Control,Structure,Expression,"
:Implements Constructor,Function is a class constructor <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Object%20Oriented%20Programming/Constructors/Constructors.htm'>Link to docs<a/>,"Syntax,Control,Keyword,Expression,"
:Implements Destructor,Function is a class destructor <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Object%20Oriented%20Programming/Constructors/Destructors.htm'>Link to docs<a/>,"Syntax,Control,Keyword,Expression,"
:Interface,Declare protocol for object methods <br/> <br/><a href='https://help.dyalog.com/latest/Content/Language/Control%20Structures/interface.htm'>Link to docs<a/>,"Syntax,Control,Structure,Expression,"
:Access Overridable,Allow derived class to redefine method (tradfn) for when it is called inside base class code <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Object%20Oriented%20Programming/Class%20Members/Methods/Superceding%20Base%20Class%20Methods.htm'>Link to docs<a/>,"Syntax,Control,Keyword,Expression,"
:Access Override,Redefine base class method (tradfn) so it can be called from inside base class code <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Object%20Oriented%20Programming/Class%20Members/Methods/Superceding%20Base%20Class%20Methods.htm'>Link to docs<a/>,"Syntax,Control,Keyword,Expression,"
:Access Public,Make class method (tradfn) visible and callable from outside the class <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Object%20Oriented%20Programming/Class%20Members/Methods/Methods.htm'>Link to docs<a/>,"Syntax,Control,Keyword,Expression,"
:Access Shared,Make class method (tradfn) run in class rather than in instance of class <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Object%20Oriented%20Programming/Class%20Members/Methods/Shared%20Methods.htm'>Link to docs<a/>,"Syntax,Control,Keyword,Expression,"
:Access WebMethod,Same as :Access Public with :Attribute System.Web.Services.WebMethodAttribute <br/> <br/><a href='https://help.dyalog.com/latest/#DotNet/Writing%20Web%20Services/Exporting%20Methods.htm'>Link to docs<a/>,"Syntax,Control,Keyword,Expression,"
:Class,"Declare object template with optional fields, methods, and properties <br/> <br/><a href='https://help.dyalog.com/latest/Content/Language/Control%20Structures/class.htm'>Link to docs<a/>","Syntax,Control,Structure,Expression,"
:Continue,Start iteration of the immediately surrounding :For/:Repeat/:While loop <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Control%20Structures/continue.htm'>Link to docs<a/>,"Syntax,Control,Keyword,Expression,"
:For,:For var :In│:InEach ax ⋄ block ⋄ :EndFor <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Control%20Structures/for.htm'>Link to docs<a/>,"Syntax,Control,Structure,Expression,"
:GoTo J,Branch to line or label J <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Control%20Structures/goto.htm'>Link to docs<a/>,"Syntax,Control,Keyword,Expression,"
:Hold,:Hold tkn ⋄ block ⋄ :Else ⋄ block ⋄ :EndHold <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Control%20Structures/hold.htm'>Link to docs<a/>,"Syntax,Control,Structure,Expression,"
