⊖Y,Reverse leading axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Reverse%20First.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
⊖Ym,Reflect horizontally <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Rotate%20First.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
I⊖Y,Rotate vectors along leading axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Rotate%20First.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
÷N,Reciprocal: 1÷N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Reciprocal.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
M÷N,Dividing M by N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Divide.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
|N,Magnitude (absolute value) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Magnitude.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
M|N,Residue after dividing N by M <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Residue.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
!N,Factorial (Gamma function of N+1) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Factorial.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
M!N,"Number of selections of size M from N (using Beta function): C(N,M) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Binomial.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Mathematical,"
A!N,"Selecting elements satisfying condition A, others to 1 <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Binomial.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Boolean/Logical,"
?J,Random number selected from ⍳J <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Roll.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
?B,"Random real number between (0,1) if B=0 or ⎕IO if B=1 <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Roll.htm'>Link to docs<a/>","Primitive,Monadic Function,nan,Mathematical,"
Is?Js,Deal: Is random items from ⍳Js (without replacement) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Deal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
M<N,Less Than <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
A<B,Logical converse nonimplication <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
M≤N,Less Than Or Equal To <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less%20Or%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
A≤B,Logical implication <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less%20Or%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
X=Y,Equal To <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
A=B,Logical XNOR <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
M≥N,Greater Than Or Equal To <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater%20Or%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
A≥B,Logical converse implication <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater%20Or%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
M>N,Greater Than <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
A>B,Logical nonimplication <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
≠Y,Nub sieve: mask for major cells to leave the distinct (∪Y) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Unique%20Mask.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Sets,"
X≠Y,Not Equal To <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Comparison,"
A≠B,Logical XOR <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not%20Equal.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
≡Y,Depth: Maximum level of nesting in Y (negative if uneven) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Depth.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Array Properties,"
X≡Y,"Match: 1 if X is identical to Y, else 0 <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Match.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Sets,"
≢Xm,Number of rows in matrix Xm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Tally.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Array Properties,"
≢Y,Tally: Number of items in leading axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Tally.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Array Properties,"
X≢Y,Not Match: ~X≡Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not%20Match.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
↓Y,Split: Nest sub-arrays (from last axis) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Split.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
↓Ym,Matrix to vector of row vectors <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Split.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Is↓Ym,Drop Is rows from matrix Ym <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Drop.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Iv↓Y,Drop Iv items along leading axes of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Drop.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
↑Y,Mix: Remove nesting (adding trailing axes) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Mix.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
↑Yv,Vector of row vectors to matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Mix.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Is↑Yv,Padding Yv on the right to width Is <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Is↑Ym,Take Is rows from matrix Ym <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Iv↑Y,Take Iv items along leading axes of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Iv↑Ys,Padding Ys to shape Iv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
⍴Y,Shape: Length of each axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Shape.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Array Properties,"
Iv⍴Y,Reshape Y to have shape Iv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Reshape.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
