+,+
-,-
×,`-
÷,`=
*,`p
⍟,`*
⌹,`+
○,`o
!,!
?,?
|,|
⌈,`s
⌊,`d
⍳,`i
⍸,`I
=,=
≠,`8
≤,`4
<,<
>,>
≥,`6
≡,
≢,"`"""
∨,`9
∧,`0
⍲,`0
⍱,`9
⊥,`b
⊤,`n
⊣,`|
⊢,`\
↑,`y
↓,`u
⊂,`z
⊃,`x
⊆,`Z
⎕,`l
⍒,`3
⍋,`4
∊,`e
⍷,`E
∪,`v
∩,`c
~,~
/,/
\,\
⌿,`/
⍀,`.
",",","
⍪,`<
⍴,`r
⌽,`%
⊖,`&
⍉,`^
¨,`1
⍨,`T
⍣,`P
.,.
∘,`j
⍤,`J
⍥,`O
@,@
⍞,`{
⎕,`l
⍠,`?
⌸,`K
⌺,`~
⌶,`!
⍎,`;
⍕,`'
⋄,```
→,`]
∇,`g
&,&
⍬,`}
