⍬,Empty Numeric Vector <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Zilde%20Symbol.htm'>Link to docs<a/>
A<B,Logical converse nonimplication <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less.htm'>Link to docs<a/>
M≤N,Less Than Or Equal To <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less%20Or%20Equal.htm'>Link to docs<a/>
A≤B,Logical implication <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Less%20Or%20Equal.htm'>Link to docs<a/>
X=Y,Equal To <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Equal.htm'>Link to docs<a/>
A=B,Logical XNOR <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Equal.htm'>Link to docs<a/>
M≥N,Greater Than Or Equal To <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater%20Or%20Equal.htm'>Link to docs<a/>
A≥B,Logical converse implication <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater%20Or%20Equal.htm'>Link to docs<a/>
M>N,Greater Than <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater.htm'>Link to docs<a/>
A>B,Logical nonimplication <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Greater.htm'>Link to docs<a/>
≠Y,Nub sieve: mask for major cells to leave the distinct (∪Y) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Unique%20Mask.htm'>Link to docs<a/>
X≠Y,Not Equal To <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not%20Equal.htm'>Link to docs<a/>
A≠B,Logical XOR <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not%20Equal.htm'>Link to docs<a/>
≡Y,Depth: Maximum level of nesting in Y (negative if uneven) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Depth.htm'>Link to docs<a/>
X≡Y,"Match: 1 if X is identical to Y, else 0 <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Match.htm'>Link to docs<a/>"
≢Xm,Number of rows in matrix Xm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Tally.htm'>Link to docs<a/>
≢Y,Tally: Number of items in leading axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Tally.htm'>Link to docs<a/>
X≢Y,Not Match: ~X≡Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Not%20Match.htm'>Link to docs<a/>
↓Y,Split: Nest sub-arrays (from last axis) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Split.htm'>Link to docs<a/>
