⍬,Empty Numeric Vector <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Zilde%20Symbol.htm'>Link to docs<a/>
"(1,⍨¯1↓2≠⌿⊢↑⍨1+≢)Yv",Ending points of groups of equal elements <br/> <br/><a href='nan'>Link to docs<a/>
X(1-⍳⍨∘⊖⍨-∘≢⊣)Y,Index of: Last indices in X of major cells Y <br/> <br/><a href='nan'>Link to docs<a/>
¯1∘(↓×∘⌽∘⍳+∘≢)Nv,Derivative of polynomial with descending coefficients Nv <br/> <br/><a href='nan'>Link to docs<a/>
X(1+≢⍤⊣-⍳⍨∘⌽⍨)Y,Last index of (⍳): Last indices in X of major cells Y <br/> <br/><a href='nan'>Link to docs<a/>
"(¯2-/∘⍸1,1,⍨2≠/⊢)Yv",Lengths of subvectors of Yv having equal elements <br/> <br/><a href='nan'>Link to docs<a/>
X(⊂⍤⍋⍤⌷⍨∘⊂⌷⊢)Jv,Sorting indices Jv according to data X <br/> <br/><a href='nan'>Link to docs<a/>
(⊢⍳⍨⌷⍨∘⊂∘⍋⍨)Y,"Ascending cardinals numbers (ranking, ties equal) <br/> <br/><a href='nan'>Link to docs<a/>"
(⊢⍳⍨⌷⍨∘⊂∘⍒⍨)Y,"Descending cardinals numbers (ranking, all different) <br/> <br/><a href='nan'>Link to docs<a/>"
"Is(⍉⊢⍴⍨⊣,÷⍨∘≢)Yv",Reshape Yv to Is-column matrix (filled column-wise) <br/> <br/><a href='nan'>Link to docs<a/>
Is(|∘⍳∘≢⊢∘⊂⌸⊢)Y,Distribute major cells of Y into Is (default Is:≢Y) groups as evenly as possible <br/> <br/><a href='nan'>Link to docs<a/>
(⊢×∘.<⍨∘⍳∘≢)Mm,Extract the upper triangular part of the matrix Mm without main diagonal <br/> <br/><a href='nan'>Link to docs<a/>
(⊢×∘.≤⍨∘⍳∘≢)Mm,Extract the upper triangular part of the matrix Mm with main diagonal <br/> <br/><a href='nan'>Link to docs<a/>
(⊢×∘.≥⍨∘⍳∘≢)Mm,Extract the lower triangular part of the matrix Mm with main diagonal <br/> <br/><a href='nan'>Link to docs<a/>
(⊢×∘.>⍨∘⍳∘≢)Mm,Extract the lower triangular part of the matrix Mm without main diagonal <br/> <br/><a href='nan'>Link to docs<a/>
(⊢≡∘.<⍨∘⍳∘≢)Bm,Is Bm a full upper triangular matrix without diagonal? <br/> <br/><a href='nan'>Link to docs<a/>
(⊢≡∘.≤⍨∘⍳∘≢)Bm,Is Bm a full upper triangular matrix with diagonal? <br/> <br/><a href='nan'>Link to docs<a/>
(⊢≡∘.≥⍨∘⍳∘≢)Bm,Is Bm a full lower triangular matrix with diagonal? <br/> <br/><a href='nan'>Link to docs<a/>
(⊢≡∘.>⍨∘⍳∘≢)Bm,Is Bm a full lower triangular matrix without diagonal? <br/> <br/><a href='nan'>Link to docs<a/>
(0=⊢∘.|⍨∘⍳⌈/)Jv,Divisibility table <br/> <br/><a href='nan'>Link to docs<a/>
0.01∘(⊣×∘⌊0.5+÷⍨)N,Rounding to nearest hundredth (favouring up) <br/> <br/><a href='nan'>Link to docs<a/>
0.05∘(⊣×∘⌊0.5+÷⍨)N,Rounding currencies to nearest 5 subunits <br/> <br/><a href='nan'>Link to docs<a/>
Is(⊣*∘÷⍨1⊥*⍨∘|)N,Is-norm <br/> <br/><a href='nan'>Link to docs<a/>
(+⍨=1+1⊥∘∪⊢∨⍳)Js,Is Js an almost perfect number? <br/> <br/><a href='nan'>Link to docs<a/>
(+⍨=¯1+1⊥∘∪⊢∨⍳)Js,Is Js a quasiperfect number? (none are known) <br/> <br/><a href='nan'>Link to docs<a/>
"Mv(*@1⊢∘⍟⌹1,∘⍪⊣)Nv",Coefficients of least squares exponential fit given X values Mv and Y values Nv <br/> <br/><a href='nan'>Link to docs<a/>
"{⊃,/,¨⊆¨⍵}⍣≡Y",Enlist (∊Y) but keep leaf simple arrays intact <br/> <br/><a href='nan'>Link to docs<a/>
"(+/∘,÷(×/⍴))N",Arithmetic mean value of all elements <br/> <br/><a href='nan'>Link to docs<a/>
"((¯1↓⊢,⍨1↑0∘⍴)⍤1)Y",Leftmost neighbouring elements (padding at edge) <br/> <br/><a href='nan'>Link to docs<a/>
"Is(⌈(⊃>⍥|⌽,)⌊)Js",Choose the number closer to zero (the positive one if tied) <br/> <br/><a href='nan'>Link to docs<a/>
(⊃⍤⌽⍤⍸⍤1≠∘' ')D,Indices of last non-blanks in rows <br/> <br/><a href='nan'>Link to docs<a/>
(⊢∧(∧⍀∨⍀=⊢))B,First group of ones <br/> <br/><a href='nan'>Link to docs<a/>
"((×⌿2 2⍴1,⍴)⍴2 1 3∘⍉)Y",Juxtapositioning planes of rank 3 array Y <br/> <br/><a href='nan'>Link to docs<a/>
((⊢~∘.×⍨)1↓⍳)Js,Primes until Js <br/> <br/><a href='nan'>Link to docs<a/>
(⊢⌽⍨1-1⊥⍨=∘' ')Dm,Right justify matrix Dm <br/> <br/><a href='nan'>Link to docs<a/>
Is(⊣⊥⊣|(+/⊥⍣¯1))J,Digital sum in base Is <br/> <br/><a href='nan'>Link to docs<a/>
"(∩∘(⎕D,⎕A,⎕C⎕A))Dv",Remove non-alphanumeric ASCII characters <br/> <br/><a href='nan'>Link to docs<a/>
"(~∘'.,:;?!')Dv",Remove punctuation <br/> <br/><a href='nan'>Link to docs<a/>
Cv{∇⌊⎕DL⍵⊣0#.⎕SAVE⍺}&Ns,Save workspace as Cv every Ns seconds <br/> <br/><a href='nan'>Link to docs<a/>
Ms{⍵⌷⍨⊂⍋⍋⍺×⍋⍵}A,"Sort A according to Ms (1: ascending, 0: unordered, ¯1: descending) <br/> <br/><a href='nan'>Link to docs<a/>"
"('MDCLXVI'/⍨(0,6⍴2 5)⊤⊢)Js","Generate Roman numeral (purely additive, no refinements) <br/> <br/><a href='nan'>Link to docs<a/>"
' '@{2=⌈\' 0'⍳⍵}D,Replace leading zeros with blanks <br/> <br/><a href='nan'>Link to docs<a/>
M(*⍤-⍤⊣×*÷!⍤⊢)N,Poisson distribution of states N with average M <br/> <br/><a href='nan'>Link to docs<a/>
X(⍳⍨∘⊖⍨-⍨1+∘≢⊣)Y,"Last indices in X of major cells Y, 0 if not found <br/> <br/><a href='nan'>Link to docs<a/>"
Iv(⊢⌷⍨∘⊂~⍨∘⍳∘≢)Y,Remove major cells from Y at indices Iv <br/> <br/><a href='nan'>Link to docs<a/>
Iv(⍳⍤≢⍤⊣⌷∘⊃⍤0⌷⍤0 99)Y,"Merging Y[1] Y[2] Y[3], … under control of Iv (1:cell from Y[1], 2:cell from Y[2], …) <br/> <br/><a href='nan'>Link to docs<a/>"
"(0~⍨¯1-2-/∘⍸1,1,⍨~)Bv",Lengths of groups of ones in Bv <br/> <br/><a href='nan'>Link to docs<a/>
"Cv(≢⍤⊣↓¨,⊂⍨⊣⍷,)Dv",Split Yv at occurrences of Xv (removes separators and keeps empty segments) <br/> <br/><a href='nan'>Link to docs<a/>
(⍳∘≢+.×⍨1 ¯1∘.=⍉)Jm,Changing connection matrix Jm (¯1 to 1) to a node matrix <br/> <br/><a href='nan'>Link to docs<a/>
(2*∘÷⍨1⊥2*⍨-)⍤1⍤1 99⍨Nm,Euclidean distance table for points in N-space (one point per row) <br/> <br/><a href='nan'>Link to docs<a/>
(⍉1+⍴⊤¯1+∘⍳×/∘⍴)Y,"Matrix of all indices of Y (↑,⍳⍴Y for large Y) <br/> <br/><a href='nan'>Link to docs<a/>"
(↓(⌊/≢¨)↑⍉∘↑)Yv,Merge vectors in Yv alternately (↓⍉↑ that removes trailing elements from longer vectors) <br/> <br/><a href='nan'>Link to docs<a/>
Ms((9 11○⊣)+.×9 11∘.○⊢)N,Rectangular scale of complex N by complex factor Ms <br/> <br/><a href='nan'>Link to docs<a/>
((¯1∘⎕C≠⊢)-1∘⎕C≠⊢)D,"Detect case of characters (1:uppercase, ¯1:lowercase, 0:neither) <br/> <br/><a href='nan'>Link to docs<a/>"
((¯1∘⎕C≠⊢)∧1∘⎕C≠⊢)D,Are characters of D titlecase? <br/> <br/><a href='nan'>Link to docs<a/>
Cv⎕S{⍵.(1↓Lengths↑¨Offsets↓¨⊂Block)}Dv,Search text for PCRE regex(es) Cv returning vector of vector of capturing groups <br/> <br/><a href='nan'>Link to docs<a/>
0∘(1+<+∘⌊10⍟∘|⊢+=)J,Number of digit positions in integers in J <br/> <br/><a href='nan'>Link to docs<a/>
Is(⊢↑⍨⊢∘≢+|∘-∘≢)Y,Increasing the leading dimension of Y to multiple of Is <br/> <br/><a href='nan'>Link to docs<a/>
Iv(⊢↑⍨⊢∘⍴+|∘-∘⍴)Y,Increasing the dimensions of Y to multiples of Iv <br/> <br/><a href='nan'>Link to docs<a/>
Is(⊢↑⍨∘-∘⌊2÷⍨+∘≢)Dv,Centering text line Dv into a field of width Is <br/> <br/><a href='nan'>Link to docs<a/>
"Is(⍉⊢⍴⍨⊣,⍨⊢∘≢÷⊣)Yv",Reshape Yv to Is-row matrix (filled column-wise) <br/> <br/><a href='nan'>Link to docs<a/>
Is(⊢÷⊣*∘÷⍨1⊥*⍨∘|)N,Normalisation by Is-norm <br/> <br/><a href='nan'>Link to docs<a/>
Ms(⊣*∘÷⍨1⊥*⍨÷⊢∘≢)N,Generalised mean <br/> <br/><a href='nan'>Link to docs<a/>
"(≢(⊢-⍨1↓⊢,1+⊣)⍸)Bv",Length of subvectors indicated by Bv (Fast ≢¨⊂⍨Bv) <br/> <br/><a href='nan'>Link to docs<a/>
"(⊂⊃¨⍨∘⍋(≢,⊂)¨)Yv",Ascending shortlex sort <br/> <br/><a href='nan'>Link to docs<a/>
"(⊂⊃¨⍨∘⍒(≢,⊂)¨)Yv",Descending shortlex sort <br/> <br/><a href='nan'>Link to docs<a/>
((+\∊⍨∘⍳+/)1∘+)Jv,Expansion vector (left argument for \ or ⍀) to insert Jv[i] elements before i'th element <br/> <br/><a href='nan'>Link to docs<a/>
"Mv(⊢(⊢+.×⌹)1,∘⍪⊣)Nv",Predicted values of least squares linear fit given X values Mv and Y values Nv <br/> <br/><a href='nan'>Link to docs<a/>
{⍺←'assertion failure' ⋄ 0∊⍵:⍺ ⎕SIGNAL 8 ⋄ shy←0}B,Signal an error if any condition is not met (optional left argument: message on failure) <br/> <br/><a href='nan'>Link to docs<a/>
Iv(↓↑⍨⍴⍤⊢××⍤⊣+0=⊣)Y,Shift each dimension of Y by corresponding amount in Iv <br/> <br/><a href='nan'>Link to docs<a/>
"Iv(⊢∘≢≥∘⍋⊢∘⍳∘≢,⊣)Y",Expansion vector for Y with zeros after indices Iv <br/> <br/><a href='nan'>Link to docs<a/>
(⊃∘.×3∘⊃∘.*⍨1+2∘⊃)N,Compound interest for principals N[1] at rates N[2] in times N[3] <br/> <br/><a href='nan'>Link to docs<a/>
"0.5∘(⊣*⍨+.××.-0,⊢)N",Area of triangle with side lengths N <br/> <br/><a href='nan'>Link to docs<a/>
"(0=10|1⊥∘,0 10⊤⊢×∘⌽1 2⍴⍨≢)Jv",Valid credit card? <br/> <br/><a href='nan'>Link to docs<a/>
M((1-⊣×1-⊢)×1-⊢×1-⊣)N,Probabilistic XNOR <br/> <br/><a href='nan'>Link to docs<a/>
"Xs(1↓,⊢⍤/⍨1(⊢∨⌽)0,≠)Yv","Remove leading, multiple and trailing Xs's <br/> <br/><a href='nan'>Link to docs<a/>"
"((1,⍨⍪)⊢⍤/⍥,⍪,~)Bv",Expansion vector (left argument for \ or ⍀) to insert a new element after each one in Bv <br/> <br/><a href='nan'>Link to docs<a/>
"Is(⊣,⊣-∘(⍳∘|××)-)Js",Consecutive integers from Is to Js (arithmetic progression) <br/> <br/><a href='nan'>Link to docs<a/>
X(⊂⍤⍋⍤∊⍨⍥(⊂⍤¯1)⌷⊢)Y,Move items X to end of Y <br/> <br/><a href='nan'>Link to docs<a/>
((¯1⌽+\∊⍨∘⍳+/)1∘+)Jv,Expansion vector (left argument for \ or ⍀) to insert Jv[i] elements after i'th element <br/> <br/><a href='nan'>Link to docs<a/>
"(-/(⍳⌈/∘,)∘.=⍉)Im","Changing node matrix Im (starts,ends) to a connection matrix <br/> <br/><a href='nan'>Link to docs<a/>"
(-1⊥2(⍟×⊢)⊢∘≢⌸÷≢)Y,Shannon entropy of array ⍵ <br/> <br/><a href='nan'>Link to docs<a/>
(⌊10⍟⊢÷⍨∘⍎'.'~⍨⍕)Nv,Number of decimals of elements of Nv <br/> <br/><a href='nan'>Link to docs<a/>
"({+/,⍵}⌺3 3∊¨3+0,¨⊢)Bm",Conway's Game of Life: next generation <br/> <br/><a href='nan'>Link to docs<a/>
M((1-×)×1-(1-⊣)×1-⊢)N,Probabilistic XOR <br/> <br/><a href='nan'>Link to docs<a/>
Is{(+/∘∪⊢∨⍳)⍣⍺⊢⍵}Js,Is'th number in the Aliqout sequence for Js <br/> <br/><a href='nan'>Link to docs<a/>
"(⊢,[0.5]'¯'\⍨≠∘' ')Dv",Underlines non-blanks in a string <br/> <br/><a href='nan'>Link to docs<a/>
M(⊢∘××⊣×∘⌈¯0.5+∘|÷⍨)N,Rounding N to nearest M (favouring towards 0) <br/> <br/><a href='nan'>Link to docs<a/>
M(⊢∘××⊣×∘⌊0.5+∘|÷⍨)N,Rounding N to nearest M (favouring away from 0) <br/> <br/><a href='nan'>Link to docs<a/>
(~0∊×∘|≤∘.<⍨∘⍳∘≢)Bm,Is Bm an upper triangular matrix without diagonal? <br/> <br/><a href='nan'>Link to docs<a/>
(~0∊×∘|≤∘.≤⍨∘⍳∘≢)Bm,Is Bm an upper triangular matrix with diagonal? <br/> <br/><a href='nan'>Link to docs<a/>
(~0∊×∘|≤∘.≥⍨∘⍳∘≢)Bm,Is Bm a lower triangular matrix with diagonal? <br/> <br/><a href='nan'>Link to docs<a/>
(~0∊×∘|≤∘.>⍨∘⍳∘≢)Bm,Is Bm a lower triangular matrix without diagonal? <br/> <br/><a href='nan'>Link to docs<a/>
M(+⌿⊣∘.*⍨∘∪⊢∨⊢∘⍳)Js,Sum of M'th powers of positive divisors of Js <br/> <br/><a href='nan'>Link to docs<a/>
((×⌿∘!-∘1)÷∘!¯1++⌿)N,Multivariate Beta Function <br/> <br/><a href='nan'>Link to docs<a/>
Mv(|2÷⍨+.×∘(¯1∘⌽-1∘⌽))Nv,"Area of a polygon given Mv,Nv endpoints <br/> <br/><a href='nan'>Link to docs<a/>"
Ms(0J1⊥(1↓⊢∘⊖)×⊢÷⊣-¯1↑⊢)Nm,Perspective projection of Nm from distance Ms <br/> <br/><a href='nan'>Link to docs<a/>
{⎕A[26|13+⎕A⍳⍵]}@(∊∘⎕A)D,Rot-13 <br/> <br/><a href='nan'>Link to docs<a/>
(⊢⊢⍤/⍨1(⊢∨⌽)' '∘≠)Dv,Cyclic compression of successive blanks <br/> <br/><a href='nan'>Link to docs<a/>
"(≠\(⍳+/)∊(+\1∘,))Jv","Vector (Jv[1]⍴1),(Jv[2]⍴0),(Jv[3]⍴1),… <br/> <br/><a href='nan'>Link to docs<a/>"
"Av(∧∨⊢{⍵\2</0,⍵/⍺}∨)Bv",First one (<\) in each subvector of Bv indicated by Av (fast ∊<\¨Av⊂Bv) <br/> <br/><a href='nan'>Link to docs<a/>
"Av(≠\∨{⍺\2≠/0,⍺/⍵}⊢)Bv",State of switch given Bv on and Av off spikes <br/> <br/><a href='nan'>Link to docs<a/>
({⍉(⊂∘⍋⌷⊢)⍤1⍉⍵}⍤2)Y,Sort each column in ascending order <br/> <br/><a href='nan'>Link to docs<a/>
Cv(Xs#.{⍺←⊢ ⋄ ⍺ ⍺⍺.⎕NL ⍵})Nv,"Names public to object Xs, optionally filtered by first letters Cv <br/> <br/><a href='nan'>Link to docs<a/>"
"(⌽∘⍳∘≢⌽⊢,(0 ¯1+≢)⍴0∘⍴)Yv",Diagonal matrix with elements of Yv (filled appropriately) <br/> <br/><a href='nan'>Link to docs<a/>
'/*'∘(≠\⍷∨¯1⌽∘⌽⍷∘⌽)D,Position of /*comments*/ <br/> <br/><a href='nan'>Link to docs<a/>
I(⊢÷∘⍉1-(1+⊢)∘.×∘-⊣)N,Annuity coefficient: I periods at interest N <br/> <br/><a href='nan'>Link to docs<a/>
"Mv(*⊢∘⍟(⊢+.×⌹)1,∘⍪⊣)Nv",Predicted values of least squares exponential fit given X values Mv and Y values Nv <br/> <br/><a href='nan'>Link to docs<a/>
"X({¯1+≢⍵}⌸⍸,⍨0,∘⍳∘≢⊣)Y",Distribution of Y into intervals with cut-offs X <br/> <br/><a href='nan'>Link to docs<a/>
'\^[@-_]'⎕R{⎕UCS¯64+⎕UCS 1↓⍵.Match}Dv,Evaluate control character sequences (like ^J) <br/> <br/><a href='nan'>Link to docs<a/>
"Av(≥{~≠\⍺\2≠/1,⍺⌿⍵}⊢)Bv",Leading ones (∧⍀) in each subvector of Bv indicated by Av <br/> <br/><a href='nan'>Link to docs<a/>
"(+\'('∘=-¯1↓0,')'∘=)Dv",Depth of parentheses <br/> <br/><a href='nan'>Link to docs<a/>
"(⊢{⍎⍺,'←⍵'}⎕EX⊢⎕NS∘⍎)Dv",Make named namespace Dv into unnamed namespace <br/> <br/><a href='nan'>Link to docs<a/>
"Is(∧/+=∘(+/∘∪⊢∨⍳)¨,)Js",Are Is and Js amicable numbers? <br/> <br/><a href='nan'>Link to docs<a/>
"⌽@((<\∨1⌽<\)0,2>/⊢)⍣≡",Bubble sort <br/> <br/><a href='nan'>Link to docs<a/>
"Mv(⊣,⍥(2*∘÷⍨+.×⍨)⊢÷2⍨)Ns",Length of edges of pyramid with height and width Mv and length Ns <br/> <br/><a href='nan'>Link to docs<a/>
"Xs(⎕FIX'file://',⊢⊣⎕NPUT⍨∘⊂∘⎕SRC⍨)Dv",Save scripted object Xs (ref) to synced file Dv <br/> <br/><a href='nan'>Link to docs<a/>
"' '∘(1↓,⊢⍤/⍨1(⊢∨⌽)0,≠)Dv","Remove leading, trailing and duplicate blanks <br/> <br/><a href='nan'>Link to docs<a/>"
"(⊃((+⌿÷≢),≢÷1⊥÷)⍣≡)Nv",Arithmetic-harmonic mean <br/> <br/><a href='nan'>Link to docs<a/>
"((3⌽']  [',⍕)⍤0∘⍳∘≢,⍕)Ym",Add line numbers to table Xm <br/> <br/><a href='nan'>Link to docs<a/>
"(⊢⊂⍨1,1↓≢↑2</'aeiouyäö'∊⍨⎕C)Dv",Syllabisation of a Finnish word Dv <br/> <br/><a href='nan'>Link to docs<a/>
"Av(∧{⍵∧s∊⍺/s←+\2</0,⍵}⊢)Bv",Groups of ones in Bv pointed to by at least one 1 in Av <br/> <br/><a href='nan'>Link to docs<a/>
(1⎕JSON{1<≢⍴⍵:∇¨⊂⍤¯1⊢⍵ ⋄ ⍵})Y,Convert any rank APL array to JSON <br/> <br/><a href='nan'>Link to docs<a/>
(⊢⊆⍨∘(~∧≠\)=∘'''')Dv,Extract text (without quotes) in expression <br/> <br/><a href='nan'>Link to docs<a/>
('/'@(' '∘=)∘⍕100|1⌽3∘↑)Jv,Date (⎕TS format) to M/D/YY <br/> <br/><a href='nan'>Link to docs<a/>
('.'@(' '∘=)∘⍕∘⌽3∘↑)Jv,Date (⎕TS format) to D.M.YYYY <br/> <br/><a href='nan'>Link to docs<a/>
X(Bv{(⍺⍺⌿⍺)@(⍸⍺⍺)⊢⍵})Y,"Mask Operator: Merge X and Y using Bv (1 for X's item, 0 for Yv's item) <br/> <br/><a href='nan'>Link to docs<a/>"
"(,⌷⍨∘⊂∘⍋1⊥⍴⊤¯1+∘⍳×/∘⍴)Ym",Diagonal ravel <br/> <br/><a href='nan'>Link to docs<a/>
Mv((1∘⌽⍤⊣×¯1⌽⊢)-¯1∘⌽⍤⊣×1⌽⊢)Nv,Vector (cross) product of vectors <br/> <br/><a href='nan'>Link to docs<a/>
"Is(∧/+=¯1+∘(+/∘∪⊢∨⍳)¨,)Js",Are Is and Js betrothed numbers? <br/> <br/><a href='nan'>Link to docs<a/>
"((⎕FUNTIE⊢⊢⎕FREAD⍤,¯1+2↓∘⍳/2↑⎕FSIZE)⎕FSTIE∘0)Dv",Read all components from component file Dv <br/> <br/><a href='nan'>Link to docs<a/>
"''''∘(⊣,⊣,⍨⊢⊢⍤/⍨1+=)Dv",Doubling quotes for execution <br/> <br/><a href='nan'>Link to docs<a/>
"({⍵⌷⍨⊂⍒⊢/⍵}{⍺,≢⍵}⌸)Y",Sorted frequency table <br/> <br/><a href='nan'>Link to docs<a/>
"0 1∘{(⍵,⍺)⍪⍺,∘.(⍎⍵)⍨⍺}Ds",Truth table: All possibilities of Boolean primitive Ds <br/> <br/><a href='nan'>Link to docs<a/>
Is(⊢∘≢÷⍨1⊥⊣*⍨⊢-⊢∘≢÷⍨1⊥⊢)Nv,Is'th moment of Nv <br/> <br/><a href='nan'>Link to docs<a/>
((2*∘÷⍨+⌿÷≢)2*⍨⊢-+⌿÷≢)Nv,Theoretical standard deviation <br/> <br/><a href='nan'>Link to docs<a/>
Mv(⊢×+.×)∘(⊢÷2*∘÷⍨+.×⍨)Nv,Component of Mv in direction of Nv <br/> <br/><a href='nan'>Link to docs<a/>
"(⊃((+⌿÷≢),×⌿*∘÷≢)⍣≡)Nv",Arithmetic-geometric mean <br/> <br/><a href='nan'>Link to docs<a/>
"Mv(+⌿∘↑(,\0×⊣)(1↓,)¨×∘⊂)Nv",Product of polynomials with descending coefficients <br/> <br/><a href='nan'>Link to docs<a/>
"(⊃((×⌿*∘÷≢),≢÷1⊥÷)⍣≡)Nv",Geometric-harmonic mean <br/> <br/><a href='nan'>Link to docs<a/>
"({'⎕'/⍨¯1+≢⍵}⌸⊢,⍨∘⍳⌈/)Jv","Histogram (distribution barchart, down the page) <br/> <br/><a href='nan'>Link to docs<a/>"
(2÷⍨1⊥⊢⌷⍨∘⊂⍋⌷⍨∘⊂∘⌈2÷⍨0 1+≢)Nv,Median of non-empty Nv <br/> <br/><a href='nan'>Link to docs<a/>
((2*∘÷⍨+⌿÷¯1+≢)2*⍨⊢-+⌿÷≢)Nv,Sample standard deviation <br/> <br/><a href='nan'>Link to docs<a/>
(≢÷⍨≢÷⍨(≢×+.*∘2)-2*⍨+⌿)Nv,Theoretical variance <br/> <br/><a href='nan'>Link to docs<a/>
(2∘*↑(⌽2*⍳)⊖∘⍉⍴∘2⊤2/∘⍳2∘*)Js,Js-bit reflected Gray code <br/> <br/><a href='nan'>Link to docs<a/>
"(⊢/=(⎕D,⎕A~'GIOQ')⊃⍨1+31|∘⍎9∘↑)Dv",Is Dv a valid Finnish social security number? (10=≢Dv) <br/> <br/><a href='nan'>Link to docs<a/>
"(⍕,{2↑'thstndrd'↓⍨2×⊃⍵⌽∊1 0 8\⊂10↑0,⍳3})Js",Ordinal suffix for positive integer Js <br/> <br/><a href='nan'>Link to docs<a/>
(×/({(¯1+⍺*⍵+1)÷⍺-1}⌿2∘dfns.pco))Js,Sum of positive divisors of Js (fast +/∘∪⊢∨⍳) <br/> <br/><a href='nan'>Link to docs<a/>
X({(d/⍺)@{d}⊃⌽(d f)←~@1⎕VFI⍵}⍤1)D,Conversion of each row to a number with defaults X <br/> <br/><a href='nan'>Link to docs<a/>
"((⍳-∘⌈÷∘2)(⊣⊖⌽),⍨⍴∘⍳×⍨)Js","A magic square, odd side Js <br/> <br/><a href='nan'>Link to docs<a/>"
"{⍉' +○⍟'[1+2⊥⍵∘.=⌽⍳⌈/,⍵]}Jm",Scatter plot of two series (one per row of Jm) <br/> <br/><a href='nan'>Link to docs<a/>
1∘(⌷{(⎕NS⍬)(⊣⊣⍎)⍕⍺'←⍵'}⍤1↓)Ym,Convert table (matrix with names in header row) into vector of record namespaces <br/> <br/><a href='nan'>Link to docs<a/>
"(-⍨\2(⊢⍴⍨÷⍨∘≢,⊣)∘⍸2≠/0,,∘0)Bv",Start and length of groups of 1s in Bv <br/> <br/><a href='nan'>Link to docs<a/>
I((31-2|7|¯1+⊣)-2∘=⍤⊣×2-0≠.=400 100 4∘.|⊢)J,Number of days in months I of years J <br/> <br/><a href='nan'>Link to docs<a/>
(((≢×+.*∘2)-2*⍨+⌿)÷≢×1⌈¯1+≢)Nv,Sample variance <br/> <br/><a href='nan'>Link to docs<a/>
Mv+.×⍥((⊢÷2*∘÷⍨+.×⍨)⊢-+⌿÷≢)Nv,Sample Pearson correlation coefficient <br/> <br/><a href='nan'>Link to docs<a/>
{1∊⍵:-⎕TRAP←0 'C' '2 ⎕NQ ⎕SE''KeyPress'' ''TC''' ⋄ shy←0}B,Stop on the current line if any condition is met <br/> <br/><a href='nan'>Link to docs<a/>
(⊃÷¯2÷2∘⊃-¯1 1×2*∘÷⍨(×⍨2∘⊃)-(×/4@2))Nv,Solutions of quadratic equation Nv₁x²+Nv₂x+Nv₃=0 <br/> <br/><a href='nan'>Link to docs<a/>
"As{((¯1*⊃)×2⊥⊃≠,)⊖⍣⍺⊢(8÷⍨≢⍵)8⍴⍵}Bv","Convert bits Bv representing a signed integer of As-endianess (0:big, 1:little) into a number <br/> <br/><a href='nan'>Link to docs<a/>"
"'\\(u...)?.'⎕R{0⎕JSON'""',⍵.Match,'""'}Dv",Evaluate JSON-style escape sequences (like \n and \u000a) <br/> <br/><a href='nan'>Link to docs<a/>
((⊣/⊢⍤/⍨∘(⌈/=⊢)⊢/){⍺(≢⍵)}⌸)Y,Mode(s): Most frequent major cells of data <br/> <br/><a href='nan'>Link to docs<a/>
('⎕THIS'{'t'⎕NS⍺⊣t←⍵}∘⍎⍨⊢⊣⎕SHADOW⍤{⍵.⎕NL-⍳9})Ys,"Unpack members of namespace Ys to the current namespace, localising those names in the process <br/> <br/><a href='nan'>Link to docs<a/>"
((∪∊⊆⍨(2⌷⍉201⌶⍬)['MINI_NAME' 'MINI_QUADVAR'⍳⍨3⌷⍉201⌶⍬]∊⍨∘∊200⌶)⎕NR)Dv,Global names used by tradfn/tradop Dv <br/> <br/><a href='nan'>Link to docs<a/>
Is({⍵/⍨∧⌿2<⌿⍵}1+{(-⍺)↑⍳⍵}⊤∘⍳!×∘!⊣)Js,Numeric matrix of all unordered combinations of Is out of Js without replacement <br/> <br/><a href='nan'>Link to docs<a/>
"(,⊢⍤/⍨(⊢=⍴⍴⌈⌿)<\⍤,⍤∧⊢=∘⍉⌽∘⍴⍴⌊/)Nm",Value of saddle point <br/> <br/><a href='nan'>Link to docs<a/>
(⍉∘↑{(+/∨\' '≠⌽⍵)↑¨↓⍵}¨@(2=≢∘⍴¨))Yv,Convert inverted table to table (character data as matrices; remove trailing spaces) <br/> <br/><a href='nan'>Link to docs<a/>
"Is(⊣|∘⊃{0=⍵:1 0 ⋄ (⍵∇⍵|⍺)+.×0 1,⍪1,-⌊⍺÷⍵}⍨)Js",Multiplicative inverse of Js modulo Is (fast) <br/> <br/><a href='nan'>Link to docs<a/>
"(1⌽'$^','\*' '\?' '\W'⎕R'.*' '.' '\\&')Dv",Convert globbing pattern to regex <br/> <br/><a href='nan'>Link to docs<a/>
"'&[^;]+;'⎕R{3⊃,⎕XML⍠'Whitespace' 'Preserve'⊢'<_>',⍵.Match,'</_>'}Dv",Evaluate XML-style escape sequences (like &#10; and &#x0a;) <br/> <br/><a href='nan'>Link to docs<a/>
"'\\(u...|x..)?.'⎕R{0 ⎕JSON⍠'Dialect' 'JSON5'⊢'""',⍵.Match,'""'}Dv",Evaluate JS-style escape sequences (like \v and \x0a but not octal) <br/> <br/><a href='nan'>Link to docs<a/>
(⊃∘⊃({-⍺+.×⍨(+\-+/)@(∘.=⍨⍳∘≢)⍵×∘.≤⍨⍳≢⍵}/≢⍴⊂))Nm,Determinant of any square matrix <br/> <br/><a href='nan'>Link to docs<a/>
dfns.esh digits,Shell for Eide-number sums <br/> <br/><a href='https://dfns.dyalog.com/n_esh.htm'>Link to docs<a/>
